iter	Passed	Remaining
646	893	487
647	895	486
648	896	484
649	898	483
650	899	482
651	901	481
652	902	479
653	903	478
654	905	476
655	906	475
656	907	474
657	909	472
658	910	471
659	911	469
660	913	468
661	914	467
662	916	465
663	917	464
664	918	462
665	920	461
666	921	460
667	922	458
668	924	457
669	925	455
670	926	454
671	928	452
672	929	451
673	930	450
674	932	448
675	933	447
676	935	446
677	936	444
678	937	443
679	939	441
680	940	440
681	941	439
682	942	437
683	944	436
684	945	434
685	947	433
686	948	432
687	949	430
688	951	429
689	952	427
690	953	426
691	954	424
692	956	423
693	957	422
694	958	420
695	959	419
696	961	417
697	962	416
698	963	415
699	965	413
700	966	412
701	967	410
702	968	409
703	970	407
704	971	406
705	972	405
706	973	403
707	975	402
708	976	400
709	977	399
710	979	398
711	980	396
712	982	395
713	983	393
714	984	392
715	985	391
716	987	389
717	988	388
718	989	386
719	990	385
720	992	383
721	993	382
722	995	381
723	996	379
724	998	378
725	999	377
726	1001	375
727	1002	374
728	1004	373
729	1005	371
730	1006	370
731	1008	369
732	1009	367
733	1011	366
734	1012	364
735	1013	363
736	1014	362
737	1015	360
738	1017	359
739	1018	357
740	1019	356
741	1020	354
742	1021	353
743	1022	351
744	1024	350
745	1025	349
746	1027	347
747	1028	346
748	1030	345
749	1031	343
750	1032	342
751	1033	340
752	1034	339
753	1036	338
754	1037	336
755	1039	335
756	1040	334
757	1058	337
758	1059	336
759	1060	335
760	1062	333
761	1063	332
762	1064	330
763	1066	329
764	1067	327
765	1068	326
766	1070	325
767	1071	323
768	1072	322
769	1074	320
770	1075	319
771	1077	318
772	1078	316
773	1079	315
774	1081	313
775	1082	312
776	1083	310
777	1084	309
778	1086	308
779	1087	306
780	1088	305
781	1090	303
782	1091	302
783	1093	301
784	1094	299
785	1096	298
786	1097	297
787	1098	295
788	1100	294
789	1101	292
790	1102	291
791	1104	289
792	1105	288
793	1107	287
794	1108	285
795	1109	284
796	1111	282
797	1112	281
798	1113	280
799	1114	278
800	1115	277
801	1117	275
802	1118	274
803	1119	272
804	1120	271
805	1122	270
806	1124	268
807	1125	267
808	1127	266
809	1128	264
810	1130	263
811	1131	261
812	1132	260
813	1133	259
814	1135	257
815	1136	256
816	1137	254
817	1139	253
818	1140	252
819	1142	250
820	1143	249
821	1144	247
822	1146	246
823	1147	245
824	1148	243
825	1149	242
826	1150	240
827	1152	239
828	1153	237
829	1155	236
830	1156	235
831	1157	233
832	1158	232
833	1160	230
834	1161	229
835	1162	228
836	1163	226
837	1164	225
838	1166	223
839	1167	222
840	1168	220
841	1169	219
842	1171	218
843	1172	216
844	1174	215
845	1175	213
846	1176	212
847	1177	211
848	1179	209
849	1180	208
850	1181	206
851	1183	205
852	1184	204
853	1185	202
854	1187	201
855	1188	199
856	1190	198
857	1191	197
858	1192	195
859	1193	194
860	1195	192
861	1196	191
862	1197	190
863	1198	188
864	1200	187
865	1201	185
866	1203	184
867	1204	183
868	1206	181
869	1207	180
870	1208	179
871	1210	177
872	1211	176
873	1212	174
874	1213	173
875	1214	171
876	1216	170
877	1217	169
878	1219	167
879	1220	166
880	1221	165
881	1223	163
882	1224	162
883	1225	160
884	1226	159
885	1228	158
886	1229	156
887	1230	155
888	1231	153
889	1233	152
890	1234	151
891	1236	149
892	1237	148
893	1238	146
894	1240	145
895	1241	144
896	1242	142
897	1243	141
898	1245	139
899	1246	138
900	1247	137
901	1248	135
902	1250	134
903	1252	132
904	1253	131
905	1255	130
906	1256	128
907	1257	127
908	1259	126
909	1260	124
910	1261	123
911	1262	121
912	1263	120
913	1264	119
914	1266	117
915	1268	116
916	1269	114
917	1270	113
918	1271	112
919	1273	110
920	1274	109
921	1275	107
922	1276	106
923	1278	105
924	1279	103
925	1280	102
926	1282	101
927	1284	99
928	1285	98
929	1286	96
930	1287	95
931	1289	94
932	1290	92
933	1291	91
934	1292	89
935	1294	88
936	1295	87
937	1296	85
938	1298	84
939	1299	82
940	1301	81
941	1302	80
942	1304	78
943	1305	77
944	1306	76
945	1308	74
946	1309	73
947	1310	71
948	1311	70
949	1312	69
950	1314	67
951	1315	66
952	1317	64
953	1318	63
954	1319	62
955	1321	60
956	1322	59
957	1323	58
958	1324	56
959	1326	55
960	1327	53
961	1328	52
962	1329	51
963	1331	49
964	1332	48
965	1334	46
966	1335	45
967	1336	44
968	1338	42
969	1339	41
970	1340	40
971	1342	38
972	1343	37
973	1345	35
974	1346	34
975	1347	33
976	1349	31
977	1350	30
978	1351	28
979	1353	27
980	1354	26
981	1355	24
982	1356	23
983	1358	22
984	1359	20
985	1360	19
986	1362	17
987	1363	16
988	1365	15
989	1367	13
990	1368	12
991	1370	11
992	1372	9
993	1373	8
994	1374	6
995	1376	5
996	1377	4
997	1378	2
998	1380	1
999	1381	0
